channel,post,gpt_responses
РИА Новости,"Губернатор Подмосковья Воробьев считает, что в школах должны учиться только те дети мигрантов, которые владеют русским языком и легально находятся на территории России, при этом он не обещал принимать в школы детей мигрантов без знания языка, сообщили РИА Новости в пресс-службе правительства региона.

Ранее радио Sputnik опубликовало материал, в котором ошибочно утверждалось, что Воробьев сказал, что дети, не владеющие русским, будут допущены к учебе в школах Подмосковья. 

Губернатор обратил внимание министра образования региона на то, что в школах должны учиться только те, кто владеет русским языком и легально находятся в России","Scale: 3  
Impact: 4  
Novelty: 3  
Potential: 4  
Legacy: 2  
Positivity: 2"
Varlamov News,"Дождались, в Telegram добавили ChatGPT и Midjourney

Пробуйте: [@ChatGPT]

#реклама #текстприслан","Scale: 5  
Impact: 6  
Novelty: 6  
Potential: 7  
Legacy: 4  
Positivity: 8"
Медуза — LIVE,"«Радио Свобода» и «Голос Америки» под угрозой закрытия из-за указа Трампа

Президент США распорядился провести сокращения в Агентстве США по глобальным медиа, которое курирует «Голос Америки» и «Радио Свобода». «Голос Америки» уже остановил вещание и [увольняет] сотрудников, а «Радио Свобода» уведомлено о прекращении финансирования. Послушайте аудиоверсию [текста] об атаке Трампа на СМИ, работа которых очень важна для стран, где есть проблемы со свободой слова.

———

«Радио Медуза» — это аудиоверсии наших главных текстов. Слушайте на [подкаст-платформах] на [ютьюбе] и в нашем [приложении]","Scale: 6  
Impact: 7  
Novelty: 5  
Potential: 6  
Legacy: 5  
Positivity: 3"
BRIEFLY,"❗️Дональд Трамп в социальной сети Truth Social: 

— Пусть никто не обманывается! Сотни нападений, совершаемых «Хути», зловещими бандитами и головорезами, базирующимися в Йемене, которых ненавидит йеменский народ, исходят от ИРАНА и созданы им. 

—Любая дальнейшая атака или ответные действия «хути» будут встречены с большой силой, и нет никаких гарантий, что эта сила остановится на этом. Иран играет в «невинную жертву» террористов-изгоев, над которыми они потеряли контроль, но они не потеряли контроль. 

— Они диктуют каждый шаг, дают им оружие, снабжают их деньгами и очень сложной военной техникой, и даже, так называемой, «разведкой». С этого момента каждый выстрел хути будет рассматриваться как выстрел, произведенный из оружия и руководством ИРАНА, и ИРАН будет нести ответственность и страдать от последствий, и эти последствия будут ужасными! #США 

ДОНАЛЬД ДЖ. ТРАМП,
ПРЕЗИДЕНТ СОЕДИНЕННЫХ ШТАТОВ АМЕРИКИ

[Подписаться] [| Сайт]","Scale: 6  
Impact: 7  
Novelty: 4  
Potential: 7  
Legacy: 5  
Positivity: 2"
Ньюсач/Двач,"Эскортница зашла в чат Лиги Ставок и вышла с джекпотом.

Простой перепиской дело не закончилось. Девушка мастерски раскрутила на ночь в шикарном отеле VIP-клиента, который оказался тем самым рэпером, чьи треки вирусятся на всех площадках.

Теперь ясно, где крутятся серьёзные игроки. Важно лишь знать, кому и как подать сигнал.","Scale: 3  
Impact: 4  
Novelty: 5  
Potential: 2  
Legacy: 1  
Positivity: 3"
Раньше всех. Ну почти.,⚡️Внебиржевой курс доллара опустился ниже 82 рублей впервые с 20 июня 2024 года,"Scale: 5  
Impact: 6  
Novelty: 4  
Potential: 5  
Legacy: 3  
Positivity: 6"
РИА Новости,Внебиржевой курс доллара опустился ниже 82 рублей впервые с 20 июня 2024-го,"Scale: 5  
Impact: 6  
Novelty: 6  
Potential: 5  
Legacy: 4  
Positivity: 5"
Varlamov News,"Подмосковные спасатели вытащили из полыньи лосиху, провалившуюся под лед на Озернинском водохранилище: животное застряло в 200 метрах от берега, очевидцы обратились к спасателям, и те с помощью веревок вытянули лосиху на берег, а потом передали ветеринарам — «Мособлпожспас»","Scale: 3  
Impact: 4  
Novelty: 5  
Potential: 2  
Legacy: 1  
Positivity: 7"
Медуза — LIVE,"«Пока невозможно говорить о сроках». Песков — о потенциальной встрече Путина и Трампа

Сейчас нет «никаких наметок» по поводу возможной встречи президентов РФ и США Владимира Путина и Дональда Трампа, [заявил] пресс-секретарь Путина.

«Пока невозможно говорить о сроках, потому что нет никаких наметок. Если президенты примут решение, то встреча будет, конечно, готовиться в те сроки, которые установят сами главы государств», — сказал он.


Песков отметил, что сейчас Москва и Вашингтон «по пути реанимации наших двусторонних отношений и восстановления различных режимов диалога на разных уровнях».

———

Трамп и Путин, как ожидается, 18 марта проведут телефонный разговор. В последний раз до этого президенты США и России говорили по телефону 12 февраля. Сразу после этого страны договорились начать двусторонние консультации, направленные на прекращение российско-украинской войны.","Scale: 8  
Impact: 6  
Novelty: 5  
Potential: 7  
Legacy: 6  
Positivity: 6"
BRIEFLY,"❗️Bloomberg: Путин разрешает некоторым западным фондам продавать российские ценные бумаги.

▪️Президент Владимир Путин разрешил ряду международных инвестиционных фондов, включая американские, продавать российские ценные бумаги — за день до запланированных переговоров с президентом США Дональдом Трампом о возможном прекращении огня на Украине.  

▪️Согласно опубликованному указу, Путин позволил зарегистрированному в США фонду 683 Capital Partners LP приобретать ценные бумаги российских компаний, которые ранее принадлежали примерно дюжине западных инвестиционных и хедж-фондов. Среди фондов, получивших право продать свои активы, оказались Franklin Advisers Inc., Templeton Asset Management Ltd. и Baillie Gifford Overseas Ltd.

▪️Указ также уполномочивает две российские структуры проводить сделки с 683 Capital, связанные с этими ценными бумагами.  
Кремль не предоставил дополнительной информации.  

▪️683 Capital, базирующийся в Нью-Йорке, по состоянию на конец 2023 года управлял активами на сумму $1,95 млрд через основной фонд и офшорный фонд-спутник. Компания была основана в 2006 году и управляется Ари Цвейманом.  

▪️После начала военного конфликта на Украине западные биржи приостановили операции с российскими ценными бумагами в 2022 году, и торговля переместилась на внебиржевые рынки. Санкции, введенные в ответ на действия Путина, разорвали связь между российскими и западными финансовыми рынками, лишив многие фонды возможности продать свои российские активы.  

▪️Россия вскоре после начала конфликта заблокировала средства и ценные бумаги, принадлежащие нерезидентам из «недружественных» стран, на специальных «С» счетах. 

▪️По данным Центробанка России, на этих счетах к марту 2023 года находилось более 500 миллиардов рублей ($6,4 млрд на тот момент). Позже регулятор прекратил раскрывать данные, но выплаты дивидендов, купонов и долгов по облигациям постепенно накапливались на этих счетах.  

▪️Западные компании, покидая Россию, обычно стремятся получить одобрение регуляторов США или ЕС. Неясно, сделали ли это фонды в данном случае.  

▪️Кремль подтвердил, что Путин и Трамп проведут телефонные переговоры во вторник на фоне усилий США добиться 30-дневного перемирия, которое Украина уже согласилась принять. Американские и российские представители также начали обсуждать некоторые бизнес-проекты, включая сотрудничество в газовой сфере. #Россия #США 

[Подписаться] [| Сайт]","Scale: 6  
Impact: 7  
Novelty: 5  
Potential: 6  
Legacy: 5  
Positivity: 4"
Ньюсач/Двач,"❗️Трамп обвинил Иран в координации атак хуситов и пообещал, что Тегеран впредь понесёт за них «тяжёлые последствия»",
